date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:52	21034/21034	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	(from http://radixtouch.in/hospital/editable_form.html)
16:42:52	31703/31703	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/bootstrap-datepicker/js/bootstrap-datepicker.min.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-datepicker/js/bootstrap-datepicker.min.js	(from http://radixtouch.in/hospital/validation_form.html)
16:42:52	141/141	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/bootstrap-editable/inputs-ext/address/address.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-editable/inputs-ext/address/address.css	(from http://radixtouch.in/hospital/editable_form.html)
16:42:52	13189/13189	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/summernote/summernote.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/summernote/summernote.css	(from http://radixtouch.in/hospital/editable_form.html)
16:42:54	206683/206683	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/summernote/summernote.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/summernote/summernote.js	(from http://radixtouch.in/hospital/editable_form.html)
16:42:54	35453/35453	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/echarts/echart-data.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/echarts/echart-data.js	(from http://radixtouch.in/hospital/charts_echarts.html)
16:42:55	2668/2668	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/morris/morris_chart_data.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/morris/morris_chart_data.js	(from http://radixtouch.in/hospital/charts_morris.html)
16:42:56	35652/35652	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/morris/morris.min.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/morris/morris.min.js	(from http://radixtouch.in/hospital/charts_morris.html)
16:42:56	10598/10598	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/chart-js/chartjs-data.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/chart-js/chartjs-data.js	(from http://radixtouch.in/hospital/charts_chartjs.html)
16:42:57	5810/5810	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/google-maps-data.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/google-maps-data.js	(from http://radixtouch.in/hospital/google_maps.html)
